"Date","Price","Open","High","Low","Vol.","Change %"
"04/03/2023","888.04","891.29","891.29","886.95","","-0.36%"
"03/31/2023","891.29","877.23","893.31","877.23","","0.32%"
"03/30/2023","888.41","884.97","889.94","883.26","","-0.10%"
"03/29/2023","889.26","890.84","891.55","887.69","","-0.29%"
"03/28/2023","891.87","891.97","891.97","882.39","","-0.26%"
"03/27/2023","894.17","892.93","894.76","892.01","","0.34%"
"03/24/2023","891.15","895.90","898.10","886.91","","-0.87%"
"03/23/2023","898.95","895.03","901.54","892.93","","0.48%"
"03/22/2023","894.64","893.68","898.05","893.68","","-0.26%"
"03/21/2023","896.98","895.69","896.98","892.18","","0.19%"
"03/20/2023","895.28","896.03","896.76","890.42","","-0.25%"
"03/17/2023","897.50","897.07","901.60","896.25","","0.02%"
"03/16/2023","897.31","891.34","897.46","890.19","","0.59%"
"03/15/2023","892.05","894.41","902.23","889.79","","-0.28%"
"03/14/2023","894.51","895.39","895.39","890.08","","0.01%"
"03/13/2023","894.45","894.65","900.30","890.70","","0.01%"
"03/10/2023","894.40","892.65","895.17","892.65","","0.25%"
"03/09/2023","892.16","885.28","892.16","885.28","","0.34%"
"03/08/2023","889.17","886.21","891.81","884.55","","-0.09%"
"03/07/2023","889.95","886.55","892.07","886.55","","-0.07%"
"03/06/2023","890.58","891.19","892.62","886.02","","-0.10%"
"03/03/2023","891.48","880.84","892.57","878.40","","1.30%"
"03/02/2023","880.08","879.36","881.47","874.40","","0.15%"
"03/01/2023","878.79","875.25","880.03","874.67","","0.29%"
"02/28/2023","876.22","869.65","876.22","869.08","","-0.30%"
"02/27/2023","878.85","871.89","881.91","871.89","","0.49%"
"02/24/2023","874.54","879.06","881.99","873.88","","-0.92%"
"02/23/2023","882.70","876.51","885.19","874.48","","0.57%"
"02/22/2023","877.73","873.91","879.80","872.24","","0.01%"
"02/21/2023","877.61","870.67","880.54","870.53","","0.15%"
"02/20/2023","876.33","869.31","879.78","869.31","","0.04%"
"02/17/2023","875.94","870.02","878.57","870.02","","0.79%"
"02/14/2023","869.08","872.23","872.23","862.92","","-0.36%"
"02/13/2023","872.23","873.36","874.58","867.58","","-0.72%"
"02/10/2023","878.54","870.94","878.54","870.94","","0.73%"
"02/09/2023","872.16","868.66","874.56","868.66","","0.40%"
"02/08/2023","868.66","865.03","873.73","864.16","","0.53%"
"02/07/2023","864.04","860.22","867.58","860.22","","-0.13%"
"02/06/2023","865.18","863.94","869.82","863.94","","-0.07%"
"02/03/2023","865.76","861.88","870.76","861.88","","0.48%"
"02/02/2023","861.61","855.99","864.16","851.02","","0.50%"
"02/01/2023","857.36","860.34","861.00","855.09","","-0.35%"
"01/31/2023","860.34","854.61","861.30","854.61","","0.64%"
"01/30/2023","854.89","848.85","858.95","848.85","","0.29%"
"01/27/2023","852.41","847.17","853.63","846.60","","1.39%"
"01/26/2023","840.76","839.63","845.94","835.60","","-1.31%"
"01/25/2023","851.88","841.55","851.88","838.19","","1.18%"
"01/24/2023","841.96","839.52","842.16","839.43","","0.47%"
"01/23/2023","838.01","833.56","843.01","833.56","","0.53%"
"01/20/2023","833.56","833.05","837.81","832.47","","0.06%"
"01/19/2023","833.05","831.50","835.70","831.50","","0.17%"
"01/18/2023","831.64","843.22","843.22","831.64","","-1.37%"
"01/17/2023","843.22","840.67","845.65","840.67","","0.24%"
"01/16/2023","841.16","843.18","843.18","840.83","","-0.21%"
"01/13/2023","842.93","834.76","847.90","834.76","","0.36%"
"01/12/2023","839.93","839.24","840.83","837.97","","0.10%"
"01/11/2023","839.09","833.57","840.20","825.38","","0.00%"
"01/10/2023","839.12","826.14","839.36","826.14","","2.23%"
"01/09/2023","820.82","825.95","826.36","816.03","","-0.46%"
"12/29/2022","824.61","810.89","825.99","810.89","","1.64%"
"12/28/2022","811.27","809.00","812.78","809.00","","0.19%"
"12/27/2022","809.77","808.33","810.77","807.93","","0.03%"
"12/26/2022","809.51","809.00","814.85","808.07","","0.10%"
"12/23/2022","808.73","809.18","809.18","807.93","","-0.31%"
"12/22/2022","811.25","809.05","812.82","809.05","","0.29%"
"12/21/2022","808.92","808.95","810.38","808.29","","0.00%"
"12/20/2022","808.95","808.95","809.21","808.42","","-0.15%"
"12/19/2022","810.14","809.08","810.14","808.82","","0.10%"
"12/16/2022","809.33","810.78","811.58","808.10","","-0.28%"
"12/15/2022","811.58","809.79","811.58","809.40","","0.12%"
"12/14/2022","810.59","809.21","810.65","806.56","","0.04%"
"12/13/2022","810.28","807.89","810.54","807.89","","0.14%"
"12/12/2022","809.16","811.54","811.80","808.27","","-0.29%"
"12/09/2022","811.54","811.32","812.92","811.27","","-0.50%"
"12/08/2022","815.60","810.49","817.86","810.49","","0.12%"
"12/07/2022","814.66","809.56","815.09","809.42","","0.37%"
"12/06/2022","811.69","809.67","811.69","806.48","","0.17%"
"12/05/2022","810.29","811.71","812.62","808.63","","-0.45%"
"12/02/2022","813.97","811.58","814.51","811.58","","0.13%"
"12/01/2022","812.91","813.97","816.36","810.79","","-0.36%"
"11/30/2022","815.83","813.24","816.49","810.12","","0.11%"
"11/29/2022","814.97","815.03","815.56","813.84","","0.12%"
"11/28/2022","813.97","814.12","816.51","813.97","","-0.31%"
"11/25/2022","816.51","814.46","816.57","809.29","","0.56%"
"11/24/2022","811.95","804.73","812.84","802.32","","0.60%"
"11/23/2022","807.14","806.79","808.93","805.09","","0.07%"
"11/22/2022","806.57","802.75","806.79","802.75","","0.39%"
"11/21/2022","803.41","805.56","806.61","801.26","","-0.43%"
"11/18/2022","806.89","798.91","809.91","798.91","","-0.25%"
"11/17/2022","808.93","798.08","813.02","797.81","","0.09%"
"11/16/2022","808.22","800.20","812.67","795.98","","0.97%"
"11/15/2022","800.46","779.33","808.05","779.33","","1.41%"
"11/14/2022","789.32","778.67","789.32","778.67","","1.19%"
"11/10/2022","780.00","779.83","794.96","775.14","","-1.71%"
"11/09/2022","793.61","788.42","799.55","785.88","","0.90%"
"11/08/2022","786.56","787.52","790.54","783.38","","-0.12%"
